type:same_pinyin
优先审评加速审评明显，	优先审评加速审评明线，
但是流感疫苗在我国为自费疫苗，	但是流感疫苗在我国为自非疫苗，
药品配送占比从*年*降至***的*。	药品配送栈比从*年*降至***的*。
摩擦框架区块链预计能大幅减少九种摩擦。	摩擦框架趣块链预计能大幅减少九种摩擦。
体检需求强烈，具有进一步释放的空间。	体检需求强烈，具有进一步释放的控间。
*加入*，国内医药产业进入全球市场竞争，	*加入*，国内医药蝉业进入全球市场竞争，
五开业歇业停业复业迁移及其年月日。	五开业歇业停业复业迁倚及其年月日。
并购整合使报表实现大幅增长，	并购整合使爆表实现大幅增长，
较*年同期增长了*，较*年同期下降了*，	较*年同漆增长了*，较*年同期下降了*，
虽然场内质押可通过平仓进行违约处置，	虽然场内质押可通过平仓紧行违约处置，
超声内镜超声内镜是消化内镜技术和超声技术的结合，	超声内警超声内镜是消化内镜技术和超声技术的结合，
独占期并不加到专利期里面。	独占期并不加导专利期里面。
*贴膏剂细分领域龙头，业绩持续快速增长。	*贴糕剂细分领域龙头，业绩持续快速增长。
我们需围绕这个养老产业链构筑一个完整的养老产业生态圈，	我门需围绕这个养老产业链构筑一个完整的养老产业生态圈，
发现在研结核病加强疫苗在接种卡介苗人群中的安全性及耐受性良好且具有免疫原性。	法现在研结核病加强疫苗在接种卡介苗人群中的安全性及耐受性良好且具有免疫原性。
医药相对于全部*股的估值溢价率下降到*，接近历史最低水平。	医药相对于拳部*股的估值溢价率下降到*，接近历史最低水平。
在产业方面企业从行业发展趋势对标企业成长路径企业规划等方面进行分析；	在产业方面企冶从行业发展趋势对标企业成长路径企业规划等方面进行分析；
参与竞标的国内企业数为*家和*家的降幅分别为*和*。	参与竞标的国馁企业数为*家和*家的降幅分别为*和*。
生物制药企业通过与其他企业合作提高自身的生产营销能力。	生物制药企业统过与其他企业合作提高自身的生产营销能力。
*年这一数量翻倍达到*个；	*年这一数量翻倍达岛*个；
华海望凭借一致性评价逆袭；	华海望凭畸一致性评价逆袭；
同比增加*，生物制品板块交易量下降幅度最大，同比减少*。	童比增加*，生物制品板块交易量下降幅度最大，同比减少*。
品稳健增长；参芪扶正和鼠神经生长因子下降趋缓，对收入的影响减小。	品稳健增长；参芪扶正和鼠神经生长因子下降趋缓，对收入的影箱减小。
建议关注一致性评价品种多以及进展较快的标的华海药业京新药业信立泰德展健康。	建议关注一致性评价品种多以及金展较快的标的华海药业京新药业信立泰德展健康。
医药行业的未来仌然值得乐观，	医药行业的未来仌然值嘀乐观，
可口服的*，是一款新一代磷脂酰肌醇*激酶δ亚型的高效特异性抑制剂，	可口服的*，是一款新一代磷识酰肌醇*激酶δ亚型的高效特异性抑制剂，
国产创新药如果能顺利上市，	国产创新药如果能顺厉上市，
下游肝素制剂销售量的增长带动肝素原料药需求的稳步增长，	下游肝素制剂销售量的憎长带动肝素原料药需求的稳步增长，
国家卫生健康委员会副主任王贺胜医政医管局局长张宗久介绍加强三级公立医院绩效考核工作有关情况。	国家卫生健康委员会副主任王贺胜医政医管局局长张宗久接绍加强三级公立医院绩效考核工作有关情况。
脐血库是目前国内干细胞行业中最成熟也最重要的产业化项目，	脐血库是目前国内干细胞行业中最成熟也最重要的蝉业化项目，
单纯自体脂肪移植脂肪吸收率较高而影响了其广泛应用。	单纯自体脂肪移窒脂肪吸收率较高而影响了其广泛应用。
应该关注经销商和渠道商的管理风险和合规把控。	应溉关注经销商和渠道商的管理风险和合规把控。
对于***情况前三十名重仓股票的持有市值占基金重仓持有医药股总市值的*；	对于***情况前三十名重仓股票的持幽市值占基金重仓持有医药股总市值的*；
扎那米韦是*年****型禽流感疫情在全球蔓延时世界卫生组织公布的人感染禽流感药物防治指南中的推荐的药物。	扎那米韦是*年****型禽流感邑情在全球蔓延时世界卫生组织公布的人感染禽流感药物防治指南中的推荐的药物。
在新模式的出现下将迎来蓬勃生机。	在新模式的础现下将迎来蓬勃生机。
公司发展历经三阶段公司成立于*年，	公司筏展历经三阶段公司成立于*年，
下游医疗服务参股中硼联康高尚医学影像。	下油医疗服务参股中硼联康高尚医学影像。
健康事业部核心产品云南白药牙膏是中药品牌延伸到日化的成功案例，	健康事业部核心产品云南白药牙膏是中药拼牌延伸到日化的成功案例，
近年来，我国企业海外医疗并购事件逐渐增多。	近年来，我国企业海外谊疗并购事件逐渐增多。
推荐重点关注凯莱英昭衍新药药石科技药明康德泰格医药康龙化成，	推荐重点关注凯癞英昭衍新药药石科技药明康德泰格医药康龙化成，
后续亦有望在协同效应下逐渐发力。	后续亦有望在斜同效应下逐渐发力。
招标降价；医保控费；两票制；仿制药一致性评价。	招标降价；医保控费；粱票制；仿制药一致性评价。
本周北上资金净卖出前七的个股依次为中国国旅。	本周北上姿金净卖出前七的个股依次为中国国旅。
以换取更大的市场，提高了药品的可及性，	以换取更大的市场，提高了药品的可及幸，
我国疫苗产业集中度低，产业相对大而不强。	我国疫苗产业即中度低，产业相对大而不强。
将从多方面全力做好癌症筛查临床治疗和药品供应等相应工作。	将从多方面全力做好癌症筛查临聪治疗和药品供应等相应工作。
达到去除细菌的作用。	达到去除细菌的作庸。
康柏西普治疗*和病理性近视的理论市场空间约*亿元和*亿元。	康柏西脯治疗*和病理性近视的理论市场空间约*亿元和*亿元。
*的获批或将加速***在国内的上市。	*的获批或将挟速***在国内的上市。
国产创新药走卫计委新药重大专项途径，	国产创新药走卫计委新药重大转项途径，
免疫抑制剂管线受益于医保适应症限制取消，预计增速接近*。	免疫抑制剂管线受益于医保适应症鲜制取消，预计增速接近*。
留下真正符合质量疗效要求的好药，	留下真正符合质量疗效咬求的好药，
*年全球医美稳定增长，	*年全丑医美稳定增长，
未来市场重心将逐渐往亚洲市场转移。	未来市场重心将逐渐往轧洲市场转移。
各家相同套路之下留客能力也越来越差，	各家响同套路之下留客能力也越来越差，
抗生素全产业链业务核心项目川宁生物*年*月通过环保验收，	糠生素全产业链业务核心项目川宁生物*年*月通过环保验收，
国内长效**既往仅有石药集团的津优力和齐鲁制药的新瑞白获批上市。	国内长效**既往仅有石药集团的津优莉和齐鲁制药的新瑞白获批上市。
随着国民收入的提高以及对自身健康管理的重视，	随着国民收入的提羔以及对自身健康管理的重视，
在医美发展初期，消费者大多从媒体广告和网络搜索中获取信息，	在医美发展初期，消费者大多从媒体广告和网络搜嗦中获取信息，
预计中国医药行业将继续吸引国内外投资。	预计中国医药行业将继续吸引国内舀投资。
*年*月，云南汉素生物作为最大单一股东的云南汉盟制药有限公司举办正式动工仪式。	*年*月，云南汉素生物作为堆大单一股东的云南汉盟制药有限公司举办正式动工仪式。
是国内通过美国*欧洲*澳大利亚*等国际主流市场官方认证最多的制药企业之一。	是国内通裹美国*欧洲*澳大利亚*等国际主流市场官方认证最多的制药企业之一。
干细胞可以分化成各种组织器官的祖细胞，	干细胞可以分化成各众组织器官的祖细胞，

type:same_stroke
大力推动医疗资源整合，	大力推动医疗资源整答，
三者不同的定位有助于增强协同，形成业务互补。	三者不同的定位有助于增强协同，刑成业务互补。
降幅较小的几个品种阿立哌唑片聚乙二醇*散尼莫地平片佐匹克隆片和利培酮口崩片参与投标的企业数量分别为*家*家*家*家和*家。	降幅较小的几个品种阿立哌唑片聚乙二醇*散尼莫地平片佐匹克隆片和利培酮口崩片参与投标的企业蒌量分别为*家*家*家*家和*家。
并有利于降低医药总费用支出。	并有利于降低医药总费佣支出。
预计**年*分别为***元，	预计**年*份别为***元，
开立医疗从*年开始便投入研发内窥镜产品，	开立医疗从*年开始便投人研发内窥镜产品，
在众多仿制药企中，*无疑是最会利用专利挑战制度获益的公司。	在众多仿制约企中，*无疑是最会利用专利挑战制度获益的公司。
强化连锁药店终端地位，带动内生增长。	强化连锁药店终端地位，带运内生增长。
据*波士顿咨询测算，截止*年*月，	据*波士顿咨询铡算，截止*年*月，
近年来，我国企业海外医疗并购事件逐渐增多。	近年来，我国企业梅外医疗并购事件逐渐增多。
认为含呋喃唑酮复方制剂存在严重不良反应，	认为含呋喃唑酮复方制剂存在严重环良反应，
这三家合计在国内厂家中*年的市占率达到*。	这三家合计在国内厂家中*年的市占率达窒*。
角膜塑形镜在*几年前已经很流行了，	角膜塑形镜在*肌年前已经很流行了，
其重要的产品柠檬酸是依赖于欧洲的柠檬柑橘为原料进行生产。	其重要的产品柠檬酸是依赖于欧洲的柠檬柑橘为原料进行性产。
东诚药业与日本*签订谅解备忘录，	东诚药业与日本*签钉谅解备忘录，
缩小与跨国药企目前超千亿美金及*千亿美金市值的差距。	缩小与跨国药企目前超千亿美金及*千亿美金闹值的差距。
如全分红对应的无风险利率的收益在**，	如全分红对应的无风验利率的收益在**，
服务的扩张机会推荐爱尔眼科通策医疗。	服务的扩张机会推荐爱尔眼抖通策医疗。
同时，生美因拥有庞大且频繁的客群，	同时，生美因拥有龙大且频繁的客群，
其中临床Ⅱ和临床Ⅲ期占了全部收入的*左右；	其中临床Ⅱ和临床Ⅲ期占了全部收人的*左右；
根据*的划分，样本医院药品共有*个治疗大类，	根据*的划分，样本医院药品洪有*个治疗大类，
力生制药*业绩预告修正，	力生制约*业绩预告修正，
公司的高成长既得益于眼科特有的高资金壁垒强复制性因素，	公司的高诚长既得益于眼科特有的高资金壁垒强复制性因素，
将公关传播活动与渠道销售合理结合，	将公关传播活运与渠道销售合理结合，
基本无推广营销，小型医美机构注重营销但是因高昂成本，	基本无住广营销，小型医美机构注重营销但是因高昂成本，
民营资本进入公司管理层，	民营资本进入公司馆理层，
最后扎那米韦上市采用的是粉末喷剂，经肺吸入。	最后扎那米韦上市采用的是粉末喷剂，经肺吸人。
除了县镇乡一级等国家允许的分销区域，	除了县镇乡一汲等国家允许的分销区域，
儿童专科医院为*万元，	儿童专斟医院为*万元，
故目前*股投资标的十分稀缺，	故目前*股投姿标的十分稀缺，
*贴膏剂细分领域龙头，业绩持续快速增长。	*沾膏剂细分领域龙头，业绩持续快速增长。
管理费用率有所提升。	管理费用率有所堤升。
*年前三季度，公司研发费用共计*亿元，	*年前三季度，公司研发费用哄计*亿元，
深度融入全球产业链价值链物流链。	深度融人全球产业链价值链物流链。
同时公司还有共计*家门店已签约并购待交割，	同时公司还有共计*家门店已佥约并购待交割，
根据公开数据查询，联邦制药阿莫西林胶囊的仿制药一致性评价申请于*年*月*日报送*受理，	根据公开数据查询，联邦制药阿莫西林胶囊的妨制药一致性评价申请于*年*月*日报送*受理，
承担医保业务支持云南省级标准收载的中药配方颗粒纳入国家和省级医保药品目录。	承胆医保业务支持云南省级标准收载的中药配方颗粒纳入国家和省级医保药品目录。
归母净利润同比下滑是因为公司去年同期实现投资净收益*亿元，	归母净利润同比下滑是因为公司去年同期实献投资净收益*亿元，
我们判断此类剂型在儿童市场的份额会持续上升。	我们判继此类剂型在儿童市场的份额会持续上升。
旗下公司及其子公司拥有的七种剂型生产线均通过国家新版*认证，	旗下公司及其章公司拥有的七种剂型生产线均通过国家新版*认证，
恶性白血病*来源于*淋巴细胞的病变，	恶性白血病*来原于*淋巴细胞的病变，
我们预计*年我国体外叐精周期数将达到*万。	我们预计*年我国体外叐精周旗数将达到*万。
推动**药物市场扩容。	推动**约物市场扩容。
在国内三级医院等高端市场占据主流地位。	在国呐三级医院等高端市场占据主流地位。
加快境外新药上市进程。	加快境外新约上市进程。
未来市场空间潜力巨大。	未来市场窘间潜力巨大。
扣非净利润占比逐年提高，	扣非净利润占比逐年提搞，
除了辉瑞和康弘以外，国内市场玩家还有成都倍特药业成都恒瑞制药贵州圣济堂制药苏州第四制药厂常州四药制药北京万生药业乐普药业等。	除了辉瑞和康弘以外，国呐市场玩家还有成都倍特药业成都恒瑞制药贵州圣济堂制药苏州第四制药厂常州四药制药北京万生药业乐普药业等。
同时海德股份公告拟成立资产管理公司申请不良资管公司业务牌照。	同讨海德股份公告拟成立资产管理公司申请不良资管公司业务牌照。
国家超级医保局组建，支付定价和采购集于一体。	国家超级医保局组建，支村定价和采购集于一体。
催化剂一生物原研药专利到期。	催化剂一生物愿研药专利到期。
同比增长*；归母净利润为*万元，	同比增长*；归母净利润为*万完，

type:miss_char
引导居民做好自我防护及时合理就医。	引导民做好自我防护及时合理就医。
缓控释制剂技术平台拟投资*亿，	缓控释制剂技术平台拟投*亿，
以集中竞价交易方式减持不超过*万股，	以集中竞价交易方式减持不超*万股，
前者打造三叶儿童口腔中高端品牌，	前者打造三叶儿童口腔中高端牌，
同时，一致性评价也将加速国产高质量仿制药对专利到期原研药的替代过程。	同时，一致性评价也将加速国产高质量仿药对专利到期原研药的替代过程。
民丰重铬酸产品已提价*，	民丰重铬产品已提价*，
如恒瑞医药科伦药业复星医药乐普医疗华东医药丽珠集团，	如恒瑞医药伦药业复星医药乐普医疗华东医药丽珠集团，
全球*市场规模持续增长，	全球*市规模持续增长，
且占比年际变化较为稳定。	且占年际变化较为稳定。
不同细分领域的市场规模内生增长潜力和行业前景有着很大差别。	不同细分领域的市场规模内生增潜力和行业前景有着很大差别。
已先后有*批共*个品种通过一致性评价，	已先后有*批共*个品种通一致性评价，
日本在关键领域的市场竞争不够市场化，	日本在关键领域的市场竞争不市场化，
不仅需要精湛的生产制备工艺还需要迚行漫长的临床试验。	不仅需要精湛的生产制备工还需要迚行漫长的临床试验。
侧面来看，基因检测服务对于病患的最终目的是精准治疗，	侧面来看，基因检服务对于病患的最终目的是精准治疗，
默克的普丽康和默沙东欧加农的果纳芬于*年获批，	默克的丽康和默沙东欧加农的果纳芬于*年获批，
医保内资金逻辑的细分领域，	医保内资金逻辑的分领域，
吸引内地医药和生物科技企业走进香港地区并走向国际市场。	吸引内医药和生物科技企业走进香港地区并走向国际市场。
国家对医药创新的投入逐步增加，	国家对医创新的投入逐步增加，
武汉所于今年*月有批签发数据。	武汉所今年*月有批签发数据。
意见旨在推进健康中国建设落实深化医改的工作部署。	意见旨在推进健康中国建设落实深化医改的工作署。
但也有部分上市公司如三星医疗则采取‚资智联合全权托管的方式，	但也有部分上市公司如三星医疗则采取‚资智联合全权管的方式，
二是缺乏有效的药物。	二是缺乏有效的物。
开拓消费品市场的边际成本低。	开拓消费品市场的边成本低。
并给出结构化的诊断报告，	并给出构化的诊断报告，
*年科济生物验，已经进行的*例病人初显疗效。	*年科济生物验，已经进行的*例人初显疗效。
南京高科的主要业务为房地产及市政业务医药健康业务股权投资业务。	南京高科的主要业务为房地产及市政业务医药健康业务权投资业务。
医疗器械企业小多散和低水平竞争的现象尚没有得到根本性转变，	医疗器械企业小多散和低水平竞的现象尚没有得到根本性转变，
半暗带是治疗缺血性脑卒中的关键，	半暗带是治疗缺血性脑卒的关键，
第三类是能够提供标准化服务的医疗服务企业。	三类是能够提供标准化服务的医疗服务企业。
加州大学伯克利分校分子和细胞生物学学士哥伦比亚大学内外科医学院博士。	加州大学伯克利校分子和细胞生物学学士哥伦比亚大学内外科医学院博士。
不能治愈需要终身治疗，治疗费用非常昂贵。	不能治愈需终身治疗，治疗费用非常昂贵。
红日药业子公司博广医健与万泰辅料签订增资协议，	红日药业子公司博广医健与万辅料签订增资协议，
指导意见强调，要加强监管科学学科建设发展和食品药品医疗器械监管科学研究，	指导意见强调，要加强管科学学科建设发展和食品药品医疗器械监管科学研究，
人血白蛋白批签发总量同比增长*，进口占比有所提升。	人血白蛋白批签发总量同比增长*，进口占比有提升。
*对被收购方而言，收购的*为纳斯达克上市公司，	*对被购方而言，收购的*为纳斯达克上市公司，
沪深涨幅最大的企业为安科生物。	沪深涨最大的企业为安科生物。
通过整合信息资金物流等资源，	通过整合信息资金物流等资，
医院按照销售金额收费或收取定额托管费企业通过获得托管经营权拿下药品配送权进而获利的合作模式将被终结，	医院按照销售金额收费或收取定额托管费企业通过获得托管经营权下药品配送权进而获利的合作模式将被终结，
胰岛素基本进入平稳期，	胰岛素基本进平稳期，
**的看点，是全球首个*批准进入临床试验的通用型，	**的看点，是全球首个*批准进入临床试验的通用，
其市占率**年均保持*以上。	其市占率**年均持*以上。
对于之前常提的调拨转纯销的问题也是一样，	对于之前常提的调拨转纯销的问题也是一，
从药物发现开始，到临床研究申请，	从物发现开始，到临床研究申请，
跑赢医药行业*；本周平均下跌*，跑赢医药行业*。	跑赢医药行业*；本平均下跌*，跑赢医药行业*。
贝达与君实联合用药获临床批文*月*日，	贝达与君实联合用获临床批文*月*日，
在医械行业的并购史中，	在医行业的并购史中，
评级说明行买入未来**个月的投资收益率领先市场基准指数*以上；	评级说明行买入未来**个月的投资收益率领先场基准指数*以上；
毛利率同比上升*个百分点，	毛利率同比上升*个百分，
药品零售连锁企业通过药品交易网站只能销售非处方药，	药品零售连锁企业通过药品交易网站只能售非处方药，
盈利预测及评级考虑到公司三代胰岛素上市后销售费用有所增加等因素，	盈利预测及评级考虑到公司三代岛素上市后销售费用有所增加等因素，
*月*日*个城市的国家集中采购正式进行议价谈判，	*月*日*个城市的国集中采购正式进行议价谈判，
存在患者无法购得处方药品的情况，	存在患者无法购得处药品的情况，
日本市场必然开始越来越大规模的进口医疗器械，逆差也不断扩大。	日本市场必然开始越来越大规模的口医疗器械，逆差也不断扩大。
当前的双美大多为双利润中心，	当前的双美大多为双利润中，
甚至需要将部分销售收益分给原研药企，其权益有限。	甚至需要将部分销售收益分给研药企，其权益有限。
将和比伐卢定阿利沙坦酯等二线产品，	将和比卢定阿利沙坦酯等二线产品，
其中深圳作为公司研发总部，	其中深圳作为公司研发总，
韩国保健福祉部指定的医疗观光海外顾客接待许可医院。	韩国保健福祉部指定的医疗观光外顾客接待许可医院。
大型连锁药店之间的竞争也会愈发激烈，	大连锁药店之间的竞争也会愈发激烈，
整体来看，随着*年以来药政审评审批政策的逐步推进，	整体来看，随着*年以来药政审审批政策的逐步推进，
两票制指药品从工业企业至经销商，	两票制指药品从工企业至经销商，
已于*日宣布的拟加征关税的中国商品建议清单，	已于*日宣布的拟加关税的中国商品建议清单，
此我们认为医药基金后续再继续加仓的空间以及调结构的空间均相对有限。	此我们认为医药基金后续再继续加仓的间以及调结构的空间均相对有限。
包括毒株流行情况病毒抗原性等基因特征，	包括毒株行情况病毒抗原性等基因特征，
存在药品上市后销售低于预期的风险。	存在药品上市后售低于预期的风险。
*最新的审评进度也有所更新，	*新的审评进度也有所更新，
港股我们重点关注东阳光药绿叶制药药明生物丽珠医药白云山。	港股我们重点关注东阳光药绿叶制药药明生物丽珠药白云山。
作为一体化模式的典范，	为一体化模式的典范，
由于化学发光极高的检测精度，	由于化学发光极高的检测度，
并可以得到更多产品及服务方面的支持；	并可以得到更多产品及服务方的支持；
本公司具备中国证监会核准的证券投资咨询业务资格。	本公司具备中国证监会核准的证投资咨询业务资格。
连锁药店毛利率普遍在**之间，	锁药店毛利率普遍在**之间，
根据米内网数据显示，*年国内重点城市公立医院阿托伐他汀市场中，	根据米内网数据显示，*年国内重点城公立医院阿托伐他汀市场中，
过去十年间，相比其他行业，	去十年间，相比其他行业，
涵盖了免疫疗法靶向小分子以及溶瘤病毒等多个热门治疗方向。	涵盖了免疫疗法靶向小分以及溶瘤病毒等多个热门治疗方向。
在发达国家，*已被*产品取代。	在发达国家，*已被*产品取。
未来市场重心将逐渐往亚洲市场转移。	来市场重心将逐渐往亚洲市场转移。
通过普及度提高和结构性调整两条路径，	通过普及度提高和结构性调两条路径，
从子行业来看，医疗服务估值最高，医药商业估值最低。	从子行业看，医疗服务估值最高，医药商业估值最低。
*物业管理*年实现收入*亿元，	*物业管理*年现收入*亿元，
*年，英国财政部提出了*的升级版本**，	*年，英国财政部提出了*的升级本**，
国企改革迎来转机上实集团总裁周军亲自接管上药，	国企改革迎来转机上实集团裁周军亲自接管上药，
觃定明确书开展与业体梱机极癿执业条件执业觃则等。	觃定确书开展与业体梱机极癿执业条件执业觃则等。
这是一个长期利好的导向。	这是一个长期好的导向。
因此生物原研药在研发过程中更多的时间和成本投入用在临床阶段。	因此生物原研药在研发过程中更多的间和成本投入用在临床阶段。
随着产业链的建成，价值将逐渐体现。	随着产业链的建成，值将逐渐体现。
进口抗肿瘤药定价一直大幅低于美国，	进口抗瘤药定价一直大幅低于美国，
互联网医院模式被业界看好，	互联网医院式被业界看好，
叫停前脐带间充质干细胞治疗在我国每年约进行*例，	叫停前脐带间充质干细胞治疗在我国每年约进*例，
公司治理结构日趋完善公司今年完成上市以来首次员工持股计划，	公司治理结构日趋完善公司年完成上市以来首次员工持股计划，
我们认为，积极提高市场集中度，	我们认为，积极提市场集中度，
高值耗材领域的集中采购也将会逐步像药品领域靠拢，	高值耗材领的集中采购也将会逐步像药品领域靠拢，
完成中大资产重组，后者将协助连锁医院的筹备建设和运营，	完成中大资产重组，后者将协助连锁医院的备建设和运营，
包括两保合一医保谈判医保动态调整医保支付价等。	包括两保合一医保谈判医保动调整医保支付价等。
*人民有越来越多的可自由支配资金意味着生物药的市场空间会逐渐增大。	*人民有越来越多的可自由支配资金意味着生物药的市场空间会逐增大。
纳米颗粒能够靶向肿瘤浸润*细胞最近，	纳米颗粒能够靶向肿瘤浸润*细胞最，
近年来有所提速，达到每年*家，	近年来有所提速，到每年*家，
推荐龙头企业艾德生物。	推荐龙头企业艾德物。
会倾向于更高质量的辅料产品。	会向于更高质量的辅料产品。
赋能政府和商业机构，成为中国领先的科技驱动管理式医疗服务平台。	赋能政府和商机构，成为中国领先的科技驱动管理式医疗服务平台。

type:change_word
从职业风险来看，中国医生平均每个患者就诊时间只有*分钟，	从职业风险来看，中国医生平军每个患者就诊时间只有*分钟，
同品种单方制剂生产商有**家，	同品种单方之极生产商有**家，
*年全国医药制造业企业营业收入*万亿元，	*年全国医药制造业企业营业受辱*万亿元，
肌肉骨骼系统骨质疏松易于骨折，	肌肉骨骼系统骨质疏松一语骨折，
器械两票制政策推进低于预期。	器械两票制政策腿进低于预期。
且生物类似药进入时间已经较长的生物药市场，	且生五类似药进入时间已经较长的生物药市场，
**年全国慢性肾病调查项目数据显示，	**年全国慢性肾病调查项目数具显示，
我国外用重组人表皮生长因子市场发展，	我国外用充足人表皮生长因子市场发展，
同时可以将风险分散在研収产业链的各个环节，	通史可以将风险分散在研収产业链的各个环节，
我们判断，品牌中药消费品企业进入增长的爆发期后，	我们判断，品牌中药消费品七夜进入增长的爆发期后，
结合市场情况等因素，确定药品的补偿价格。	结合市场情况等因素，确定要聘的补偿价格。
可以按照或参考已上市产品模型君实生物信达生物百济神州。	可以按照或参考已上市产品模型君实生五信达生物百济神州。
临床*服务，主要针对临床试验阶段的研究提供服务，	临床*服务，助要针对临床试验阶段的研究提供服务，
软件产品本身有生命周期，	软件产频本身有生命周期，
*右美托咪定利培酮分散片氯氮平氯硝西泮已提交补充申请，	*右美托咪定利培酮分散片氯氮平氯硝西泮已体教补充申请，
单*以上癿仹额，需求相对稳定；	单*以上癿仹额，需求想对稳定；
我们可以从金域医学的前十大供应商变化中看到，	我扪可以从金域医学的前十大供应商变化中看到，
*估值偏好向下风险。	*骨质偏好向下风险。
和国际上研发相比，国内的技术起点并不低，	和国际上延发相比，国内的技术起点并不低，
开立医疗从*年开始便投入研发内窥镜产品，	开立医疗从*年开始便投入研发內窥镜产品，
合资成立美国*公司，为美国及其他国家和地区的制药公司提供药物研发的一站式服务。	合资成立美国*公司，为美国及其他国家和地取的制药公司提供药物研发的一站式服务。
利好创新药发展；医保谈判及税率优惠政策为创新药放量提供有利条件，	理好创新药发展；医保谈判及税率优惠政策为创新药放量提供有利条件，
价值的实现已不具备选择的权利，	价值的实现已不具备选责的权利，
是医药行业的前沿技术领域。	是医药行业的前沿技术领驭。
其中创伤类超过*为最大，其次为脊柱和关节。	其中创伤类超过*为最大，起磁为脊柱和关节。
合资公司在中国法律允许的框架范围内在大中华区大力拓展干细胞业务，	合资公司在中国法律允许的矿家范围内在大中华区大力拓展干细胞业务，
让群众切实感受到降税带来的好处。	让逡中切实感受到降税带来的好处。
彩超市场中仍有超过*的份额被外企占据，	彩超市场中仍有超过*的份额被外期占据，
为英国业务奠定基础。	为英国业务奠定几处。
从相对收益角度来看，可谓是近*年大牛市，	从相对收益交度来看，可谓是近*年大牛市，
近半年以来，我国金融机极贷给企业的人民币贷款利率呈上升趋势，	近半年以来，我国金容机极贷给企业的人民币贷款利率呈上升趋势，
提升基层中医药健康管理水平，	提升机蹭中医药健康管理水平，
