type:same_pinyin
优先审评加速审评明显，	优先绅评加速审评明显，
医疗机构在临床中优先选用。	医疗机构在临床中优先旋用。
个人用户服务内容包括公司扩大新健康药品目录范围与报销比例，	个人用户服务内容包括公司扩大新健康药品目录范围与报销碧例，
两票制实施高峰期在*年下半年，	两票治实施高峰期在*年下半年，
管理费用率有所提升。	官理费用率有所提升。
控费压力加大，医药市场长期增速放缓。	恐费压力加大，医药市场长期增速放缓。
结合相关品种的市场份额占比，	结合相关品种的市场份额栈比，
我国微创手术器械领域内领先企业，	我国畏创手术器械领域内领先企业，
与三甲医院展开干细胞储存与临床应用合作。	与三佳医院展开干细胞储存与临床应用合作。
按摩器具的设计研发生产和销售，	按陌器具的设计研发生产和销售，
*上半年，国内批签发量为*万支，	*上半年，国内批签罚量为*万支，
传统仺制药巨头山德士已经占据*以上的生物类似药市场仹额，	传统仺制窑巨头山德士已经占据*以上的生物类似药市场仹额，
团队成员袁季新加坡国立大学应用经济学硕士，	团队成员袁季寻加坡国立大学应用经济学硕士，
仿制药一致性评价药物临床试验自查核查药审加速推动国内*市场向千亿量级发展。	仿制药一致性评价药物临床试验自查赫查药审加速推动国内*市场向千亿量级发展。
医美*也将进一步推动行业内的洗牌重组和行业集中度的上升。	医美*也将进一步推动行业内的洗牌重组和行业集忠度的上升。
基层医疗机构医疗资源相对缺乏服务能力有待提升，	基层掖疗机构医疗资源相对缺乏服务能力有待提升，
已成为应用最广泛的降血脂药物，占据了*的市场。	已成为应用最广泛的降血脂遥物，占据了*的市场。
*年中国市场消化内镜诊疗器械市场规模将会达到*亿元。	*年中国市场消化内镜诊疗器械市场规模将会达稻*亿元。
反映出创新药研发领域日趋激烈的竞争。	反映出创新药沿发领域日趋激烈的竞争。
造血干细胞移植治疗的一个经典案例就是对白血病的治疗。	糟血干细胞移植治疗的一个经典案例就是对白血病的治疗。
改进药品临床试验审批，	改进药品躏床试验审批，
进，从一致性评价以及两票制推广以来，	进，从一址性评价以及两票制推广以来，
而全球仿制药市场的增长率几乎是全球药品增长率的两倍多。	而全球肪制药市场的增长率几乎是全球药品增长率的两倍多。
定点医保药店资质的放开慢病及大病定点药房电子处方和留方制度药店分类管理，	定点医保药店资质的放开慢病及大病定点药房电子处方和留方制度药奠分类管理，
其中*个产品已在海内外开展临床试验，	其中*个产品已在海内外开展临闯试验，
梦工场充分利用贝达的研发和产业化平台技术优势和营销渠道，	梦工场充分利咏贝达的研发和产业化平台技术优势和营销渠道，
为创新药研发提供原动力。	为创新姚研发提供原动力。
其中提到制定进一步规范医用耗材使用的政策文件。	其中提到制定进一步规范医用耗踩使用的政策文件。
提高新药研发的积极性，	提高新药研阀的积极性，
零售药店需要发展不同门店业态，	零售药点需要发展不同门店业态，
焦作健康元当年实现销售收入*亿元，	焦作健康元当年实现销售守入*亿元，
限以下情况斱可支付*接受舒尼替尼或索拉非尼治疗失败皀晚期肾细胞癌成人患者。	限以下情况斱可支付*接受舒尼替尼或索拉非尼植疗失败皀晚期肾细胞癌成人患者。
复宏汉霖已在新三板上市，正在申报香港上市。	复宏汉霖已在薪三板上市，正在申报香港上市。
投资建议**年是投资新型疫苗最佳阶段，	投资建议**年是投资新腥疫苗最佳阶段，
迅速抢占全球市场，*年全球销售额达*亿美元。	迅速抢占全球市场，*年拳球销售额达*亿美元。
目前，医保目录动态调整过两次。	目前，医保募录动态调整过两次。
能够提供新药研发产业链的绝大部分研究服务，	能够提供新舀研发产业链的绝大部分研究服务，
让医院回归医疗本质，降低医院的药占比。	让医院回归医疗本质，降低医院的药占庇。
合理估值**倍；对应大多数为国企。	各理估值**倍；对应大多数为国企。
上半年申请两项*类新药临床获得受理，	上半年申请两项*类新药鳞床获得受理，
从物流管理角度，药品和低值耗材是单向物流，	从物流管理角度，药品和低值好材是单向物流，
但是分级诊疗仍是大势所趋。	但是愤级诊疗仍是大势所趋。
*年*月卫计委发布关于在公立医疗机构药品采购中推行两票制的实施意见和公立医院改革试点城市要率先推行两票制，	*年*月卫计为发布关于在公立医疗机构药品采购中推行两票制的实施意见和公立医院改革试点城市要率先推行两票制，
收入和归母净利润均有较大提升。	收入和归母靖利润均有较大提升。
在医疗服务行业，扩张速度往往受到其扩张模式以及人才梯度建设的影响。	在医燎服务行业，扩张速度往往受到其扩张模式以及人才梯度建设的影响。
展望*年下半年及未来几年的医药板块投资，	展望*年下半年及未来几年的医耀板块投资，
执业药师可以注册在总部，	执业药视可以注册在总部，
*年中国医疗器械市场规模为*亿元，	*年中国医疗歧械市场规模为*亿元，
则公司产品的终端销售额能够增加*亿元左右的销售收入。	则公司产品的终端嚣售额能够增加*亿元左右的销售收入。
在*方面，泛生子创新性的研发和优化以血液和脑脊液为代表的液体活检检测技术，	在*方面，泛生子创新性的研发和优化以血液和脑脊液为代表的液体豁检检测技术，
以及两票制等间接措施，	以及两漂制等间接措施，
其他消费我武生物长春高新片仔癀。	其他消费我武生物长春骨新片仔癀。
公司有望刟用新增癿核药房网点来扩大产品癿供应范围，	公司有望刟用新增癿吓药房网点来扩大产品癿供应范围，
近十年来，医药制造业收入增速均与医保基金支出增速趋势基本一致，	近十年来，医药制造业收入增速均与医保基金趾出增速趋势基本一致，
尽管目前医药板块整体的估值与利润增速水平并不匹配但考虑到细分市场整体增速大部分快于医药行业整体增长，	尽管目前医药板块整体的估值与利润增速水平并不匹配但考虑到细分市场整体赠速大部分快于医药行业整体增长，
由于日本医疗器械行业的发展和成熟晚于药品，	由于日本医疗器械惜业的发展和成熟晚于药品，
同时国内创新药的赚钱效应开始凸显。	同时国内创新药的转钱效应开始凸显。
其相较竞品疗效突出，性价比优势明显，	其相较竞品疗效突出，性价毙优势明显，
抢抓业务转型机遇，进一步扩大纯销业务，	抢抓业务转型机遇，进一步扩大蠢销业务，

type:same_stroke
另一方面，公司通过以慢病管理为基础以提供糖尿病胰岛素治疗整体解决方案为出发点的全方位营销模式，	另一方面，公司通过以慢病管理为基础以提供糖尿病胰岛素治疗整笨解决方案为出发点的全方位营销模式，
企业的成本将节省高达*左右，	企业的成本将节省搞达*左右，
向婴童医疗美容化妆品等品类业务拓展。	向婴童医疗美溶化妆品等品类业务拓展。
因而中国仿制药类似药的定价也会因此受到较为严峻的低天花板限制。	因而中国仿制约类似药的定价也会因此受到较为严峻的低天花板限制。
采购量为试点地区公立医疗机构年用量**。	采购量为试点地区公立医疗机钩年用量**。
阿莫西林胶囊已完成仿制药一致性评价现场检查，	阿莫西梦胶囊已完成仿制药一致性评价现场检查，
这些有利于提升新药研发积极性。	这些有利于提升新约研发积极性。
**乐普医疗农村包围城市，	**烁普医疗农村包围城市，
而九价疫苗内地尚未上市。	而九介疫苗内地尚未上市。
启动了临床研究工作；硫胶体和*药盒的研发及*药盒的复产项目完成了硫胶体和*药盒的生产工艺研究。	启动了临床研究工作；硫胶笨和*药盒的研发及*药盒的复产项目完成了硫胶体和*药盒的生产工艺研究。
传统仺制药巨头山德士已经占据*以上的生物类似药市场仹额，	传统仺制药柜头山德士已经占据*以上的生物类似药市场仹额，
少量的拥有自主定价权的领域或者能够抗住负向降价的领域将是牛股的优选逻辑所在。	少量的拥有自主定价权的领域或者能够亢住负向降价的领域将是牛股的优选逻辑所在。
在未来*年内，将以约*癿年度复合增长率增长，	在未来*年内，将以约*癿年度复合增张率增长，
公司制剂板块总体保持*以上增速，成长稳健。	公司制剂版块总体保持*以上增速，成长稳健。
本轮融资由普华资本领投，	本轮嗝资由普华资本领投，
风险提示政策落地不及预期；	风险题示政策落地不及预期；
测序服务的国内跨境医疗服务机构目前有上千家，	测序服务的国内挎境医疗服务机构目前有上千家，
吡咯替尼组客观缓解率为*，拉帕替尼组为*。	吡咯替尼组客观缓解率为*，拉帕潜尼组为*。
药品降价风险；一致性评价进展不及预期。	药品降价风险；一致性评阶进展不及预期。
舒缓公立医疗系统的巨大压力，	舒缓公垃医疗系统的巨大压力，
公司作为大型的仿制药生产企业有望受益。	公司作为大型的纺制药生产企业有望受益。
其中*家标的公司*年扣非净利润增速超过*，	其中*家标的公司*年扣非净犁润增速超过*，
美国模式专利悬崖价格大幅下降，竞争格局决定价格。	美国模式专犁悬崖价格大幅下降，竞争格局决定价格。
较上年同期上升*个百分点。	较上年同斯上升*个百分点。
我们预计首批产品获得一致性评价认定的时点或已临近。	我们预计首批产品获得一致星评价认定的时点或已临近。
合理估值**倍；对应大多数为国企。	合暑估值**倍；对应大多数为国企。
配方颗粒仍保持*左右增速。	配方稞粒仍保持*左右增速。
政策利好，门店收入将迎来新的增长点。	政策利好，门店收人将迎来新的增长点。
*月*日发布以来收益净值*，	*月*日发布以来收益净殖*，
风险提示*原料药提价不达预期；	风险是示*原料药提价不达预期；
这仅仅是开始，**价肺炎三代狂苗多联疫苗等，	这仅仅是开始，**价肺炎三代狂苗多耻疫苗等，
枸橼酸咖啡因注射液被纳入第一批有些审批审批的儿童用药目录；	枸橼酸咖啡因注射液被纳入第一批有些审批审批的儿童用约目录；
在*个申万一级行业中排名第四。	在*个伸万一级行业中排名第四。
其中*月票房高达*亿，	其中*月票房搞达*亿，
如药明康德康龙化成；*具有独特优势，	如药明康德康宠化成；*具有独特优势，
进而拉低公司综合毛利率。	进而拉低公司综合毛俐率。
供企业进行一致性评价研究时参考。	供企业进行一窒性评价研究时参考。
*年*家重点医院的营收占比为*，	*年*家重点医院的营收帖比为*，
通过本次一致性评价，此部分仿制药市场竞争格局将极大优化，	通过本次一致性评价，此部分旅制药市场竞争格局将极大优化，
而带量采购政策的实施则有望加速处方外流趋势，	而带量采购政策的实施则有望加速处防外流趋势，
可使用阿达木单抗治疗银屑病。	可使用阿达框单抗治疗银屑病。
分级诊断的推进将带动基层医疗机构检验需求的增加，	分级诊迷的推进将带动基层医疗机构检验需求的增加，
巴利昔单抗用于治疗肾移植排斥反应，	巴利鹊单抗用于治疗肾移植排斥反应，
为创新药研发提供原动力。	为创新约研发提供原动力。
全球溶瘤病毒备受监管机构青睐，	全球容瘤病毒备受监管机构青睐，
除和睦家品牌以外，复星医药在其他领域并未披露明确的连锁扩张计划，	除和睦家品牌以外，履星医药在其他领域并未披露明确的连锁扩张计划，
此外，药房基层医疗机构等终端市场将带来新的增长机会。	此外，药房基层医疼机构等终端市场将带来新的增长机会。
本轮融资由普华资本领投，	本轮融姿由普华资本领投，
不仅有助于跨国医药企业更好的在中国开展临床试验加速药品引进，	不仅有助于跨国医药企业更好的在中国开辗临床试验加速药品引进，
并将国内仿制药品的复核检验结果报送药品生产企业所在地省级食品药品监督管理部门，	并将国内仿制药品的复核检验结果报送药品生产企业所在地省级食品约品监督管理部门，
导致分级诊疗难以推进。	导致分级珍疗难以推进。
*年初以来申万医药指数大跌，	*年初以来申万医约指数大跌，
表示将积极开展并购与投后管理工作。	表示将积极开展并购与投后管着工作。
因此预计我国生物类似药生产企业的应收账款及票据周转率会接近我国其他药品生产企业。	因此预计我国生物类似药生产企业的应收贪款及票据周转率会接近我国其他药品生产企业。
国外原研药大规模的专利到期，	国外原研药大规模的专利到其，
同时还有利于部分综合实力优秀的生物药*公司脱颖而出，获得更大市场份额。	同时还有利于部分综合实力优秀的生物药*公司脱颖而出，获得更天市场份额。
为了提高生化诊断结果的准确性及易用性，	为了提高生化珍断结果的准确性及易用性，
阿法骨化醇成功通过一致性评价，市场空间广阔。	阿法骨化醇成功通过一倒性评价，市场空间广阔。
*年初以来申万医药指数大跌，	*年初以来坤万医药指数大跌，
客单价较低，获客成本低于个检客户，	客单价较低，获客成笨低于个检客户，
销售费用率的提高一方面是销售业务需要，	捎售费用率的提高一方面是销售业务需要，
*药房的两大核心要素是选址和品种。	*药房的两天核心要素是选址和品种。
流通准入，包括上市许可分类管理流通方式流通渠道流通价格等；	流通准入，包括上柿许可分类管理流通方式流通渠道流通价格等；
一致性评价逐步进入业绩兑现期。	一致性评阶逐步进入业绩兑现期。
疾病病种，更好适应基本医疗卫生需求。	疾病病种，更好适应基本医疒卫生需求。
产品包括止血及闭合类活检类扩张类**类*类**类肿瘤微波消融类七大子版块。	产品包括止血及闭合类活检类扩张类**类*类**类肿瘤微破消融类七大子版块。
在未来*年内，将以约*癿年度复合增长率增长，	在未来*年内，将以约*癿年度复答增长率增长，
主要是因为放量与低生产成本两大保护。	主要是因为放量与低生产成本两天保护。
比如民营专科连锁医院中药消费品生长激素疫苗等，	比如民营专抖连锁医院中药消费品生长激素疫苗等，
综合而言，生物药在国内的渗透率较低，	综合而言，生物药在国内的渗秀率较低，
适用于当口服疗法不适用时下列病症的替代疗法十二指肠溃疡胃溃疡反流性食管炎及**综合征。	适用于当口服疗法不适用时下列病症的替代疗法十二指肠溃疡胃溃疡反流性食馆炎及**综合征。
设计开发了一个包含*多种独特新颖的用于小分子药物研发的药物分子砌块库，	设计开发了一个包含*多种独特新颖的用于小分子药物研发的药物粉子砌块库，
复合增长率最低的是葡萄糖酸钙口服溶液广告回报减少，	复合增长蟀最低的是葡萄糖酸钙口服溶液广告回报减少，
推动治疗重大疾病的专利到期药物的仿制上市，	推动治疗重大疾病的专犁到期药物的仿制上市，
同比增加*，医疗器械板块交易额下降幅度最大，同比减少*。	同比增加*，医疗器械返块交易额下降幅度最大，同比减少*。
重磅产品上市进度或销售情况或低于预期的风险，	重膀产品上市进度或销售情况或低于预期的风险，
企业的成本将节省高达*左右，	企业的成本将节省搞达*左右，
比较来看，*年**月参保人数同比增长*，	比较来看，*年**月参保入数同比增长*，
*年收入有望过*亿；*公司营销能力较强，	*年收入有望过*亿；*公司营销能励较强，
假设复方丹参滴丸毛利率*中药注射剂毛利率*剩余品种毛利率*，	假设复方丹参滴丸毛利率*中药注身剂毛利率*剩余品种毛利率*，
*年美国仿制药在处方量中占比仅*，*年占比已接近*。	*年美国仿制药在处方量中粘比仅*，*年占比已接近*。
相较常规制剂，吸入剂具有起效快生物利用度高用量较低等优点，	相较常规制剂，圾入剂具有起效快生物利用度高用量较低等优点，
主导仿制药行业的结构调整，	主导仿制约行业的结构调整，
打破小分子靶向治疗新药的国际垄断，	打破小分子靶向治疒新药的国际垄断，
肝素原料药属于特色原料药，	肝素原料约属于特色原料药，
同比基本持平；扣非归母净利润增速*，	同比基本持平；扣悲归母净利润增速*，
维护和监管医保基金运营。	维护和监管医保基钱运营。
新特药方面，*年，国内*模式销售规模约为*亿元，同比增长*。	新峙药方面，*年，国内*模式销售规模约为*亿元，同比增长*。
对标海外零售巨头，我国连锁药店尚存发展空间。	对标海外零售巨头，我国莲锁药店尚存发展空间。
本报告所载资料的来源及观点的出处皆被广发证券股份有限公司认为可靠，	本报告所载资料的来源及观点的出处皆被旷发证券股份有限公司认为可靠，
益丰药房老百姓以及国大药房相继登陆资本市场，	益丰药房老百姓以及国大约房相继登陆资本市场，
因此，我们认为未来国产注射用重组人*型*受体抗体融合蛋白将制胜我国*抑制剂市场，	因此，我们认为未来国产注射用重组人*型*受体抗体融搭蛋白将制胜我国*抑制剂市场，
任首席科学官和董事，拥有*多年新药研发创新及管理经验。	任首席科学官和董事，拥有*多年新约研发创新及管理经验。
同比增长*，销售费用率为*，	同比增长*，销售费佣率为*，
我们称这种现象叫肿瘤免疫逃逸。	我们称这种现象叫肿榴免疫逃逸。
但是我们认为在一致性评价推进的关键时刻，	但是我们认为在一至性评价推进的关键时刻，
作为新药研发的传统路径，	作为新约研发的传统路径，
其中*起发起方为医药企业的并购案例中，	其中*起发起方为医药企业的迸购案例中，
百克是小长生，新型流感带状疱疹疫苗新一代冻干*狂犬疫苗等近两年将陆续上市，有望再造一个百克。	百克是小长生，新型流感带状疱疹疫苗新一代冻干*班犬疫苗等近两年将陆续上市，有望再造一个百克。
免疫抑制剂管线受益于医保适应症限制取消，预计增速接近*。	搀疫抑制剂管线受益于医保适应症限制取消，预计增速接近*。

type:miss_char
我国医疗美容行业的市场空间将从*年的*亿元增加到*年的*亿元，行业空间较大。	我国医美容行业的市场空间将从*年的*亿元增加到*年的*亿元，行业空间较大。
预计实现归母净利润*万元*万公司发布*年度业绩预告，	预计实现归母净利润*万元*万公司发布*年度业预告，
但通过对上游议价转移压力，	但通过对上游议转移压力，
小型或处于开发阶段的生物医药企业通常专注于当前的临床开发项目，	小型或处于开发阶段的生物医药企通常专注于当前的临床开发项目，
随着医改的深入，医疗生态圈的*大变化为国内*药房带来发展良机*终端之变分类采购招标降价降低医院药占比的政策导向为院外终端的崛起提供了契机；	随医改的深入，医疗生态圈的*大变化为国内*药房带来发展良机*终端之变分类采购招标降价降低医院药占比的政策导向为院外终端的崛起提供了契机；
目前医保带量采购尚处于试点阶段，	目前医保带采购尚处于试点阶段，
未来医保支付改革与分级诊疗将成为持续推进改革的重点。	未来医保支改革与分级诊疗将成为持续推进改革的重点。
涵盖包括眼科整形美容与创面护理骨科和防粘连及止血这四个主要业务领域。	涵盖包括眼科整美容与创面护理骨科和防粘连及止血这四个主要业务领域。
我们区分控费政策严厉中性和缓和三大情形对仿制药的市场规模进行测算。	我们区分控费政策严厉中性和缓和三大情形对制药的市场规模进行测算。
占据国内血液灌流市场近*份额，	占据国内血液流市场近*份额，
从医疗信息化领域来看，	从医疗信息领域来看，
海曲泊帕的对标药物为艾曲泊帕的血小板减少。	曲泊帕的对标药物为艾曲泊帕的血小板减少。
*年至*年复合年增长率达*。	*年至*年复年增长率达*。
突破了*股目前不能以研发最为募投项目的现有规则，	突破了*股目前不能以研发最为募投项的现有规则，
国大药房有望与医院建立合作，承接处方外流。	国大药房有望与医院建立合作，承接方外流。
参保人员以实际销售价格为基础支付费用。	参人员以实际销售价格为基础支付费用。
医药板块中，涨幅最大的是中药*子板块，	医药板中，涨幅最大的是中药*子板块，
此次一致性评价存在时限和质量要求，	此次致性评价存在时限和质量要求，
新世纪日本监管当局建立了精巧而又强力的医疗器械控费机制，	新世纪日本监管当局建立了精巧而又强力的医疗器控费机制，
药品广告是医药保健行业网络广告癿主流，广告占比*。	药品广告是医药保健行业网络广告癿主流，广告占*。
*行业未来几年仍将保持快速增长**依托工艺改进和技术创新，	*行业未来几年仍将保持速增长**依托工艺改进和技术创新，
三年间年均复合增长率高达*，发展迅猛。	三年间年均复增长率高达*，发展迅猛。
公司有望凭借先发优势和完善的检验项目，获得较高市场份额。	公司有望凭借发优势和完善的检验项目，获得较高市场份额。
仿制药占比逐年提升。	仿制药比逐年提升。
逐渐进入一线的帕妥珠单抗增长较快，	逐渐进入一线的帕珠单抗增长较快，
高性能款软组织夹*万件。	高性能款软组夹*万件。
推动行业快速放量；**化学发光彩超等细分领域的产品由于具备进口替代趋势或技术壁垒，	推动行业快速放量；**化学发光彩超等细领域的产品由于具备进口替代趋势或技术壁垒，
系统回顾一下今年整个*股医药上市公司，	系统回顾一下今年整个*股药上市公司，
分季度数据看剔除上海莱士天坛生物和沃森生物后，	分季度数据看剔除上海士天坛生物和沃森生物后，
市场占比将不断提升。	市场占将不断提升。
爱尔眼科网点扩张速度是眼科专科行业整体水平的*倍，	爱尔科网点扩张速度是眼科专科行业整体水平的*倍，
生物创新药*个，包括了康柏西普以及尼妥珠单抗等药品。	生物创新药*个，包括了康柏西普以及尼妥珠抗等药品。
其中胃镜肠镜十二指肠镜超声内镜应用较多。	其中胃镜肠十二指肠镜超声内镜应用较多。
新三板在线研究中心研究发现，	新三在线研究中心研究发现，
近年来卫计委*和中检院先后推出了多项直接针对胚胎植入前检测癿觃范性文件，	近年来卫计委*和中检院先后推出了多项直接针对胚胎入前检测癿觃范性文件，
生物药研发难度高周期长投入高，	生物药研发难度高周期长入高，
公司小分子靶向抗肿瘤药*今年将在中国申请上市注册，	公司小分子向抗肿瘤药*今年将在中国申请上市注册，
**年，随着医药行业增速触底回升，	**年，随着医药行业增速触底回，
仿制药行业短期变数较多。	仿药行业短期变数较多。
江苏康宁杰瑞生物科技有限公司创立于*年*月，	江苏康宁杰瑞物科技有限公司创立于*年*月，
其发展依赖于核医学诊断设备的普及。	其发展依赖于核学诊断设备的普及。
市场占比将不断提升。	市场占将不断提升。
我们讣为，此觃定利好制剂出口企业药品通过一致性评价癿企业创新药企业。	我们讣为，此觃定利好制剂出口企业药品通过一致评价癿企业创新药企业。
此外******等抗癌产品研发进度也在有序进行，	此外******等抗癌产品研发度也在有序进行，
保持**快速增长；*随着医保目录调整适应症放开，	保持**快速增长；*随着医保目调整适应症放开，
由于其中包含了进口药品分销终端是零售药店的调拨偏远山区的调拨等不受两票制限制的调拨业务，	由于其中包含了进口药品分销终端是零售药店的调拨偏远山区的调拨等不受两票限制的调拨业务，
上海新兴为中国医药下属控股子公司，	上海新兴为中国医药下属控子公司，
不断巩固精准医疗龙头地位。	不断巩固准医疗龙头地位。
并购标的业绩不达承诺的商誉减值风险。	并购标的业绩不达承诺的商誉值风险。
药政政策倒逼企业加快创新随着医改的持续深入，	药政策倒逼企业加快创新随着医改的持续深入，
在研项目超过*为肿瘤靶向药物，	在研项目超过*为肿瘤向药物，
鼓励分级诊疗和民营医院建设的政策带来新的设备购置需求等。	鼓励分级疗和民营医院建设的政策带来新的设备购置需求等。
北美地区是公司最大市场收入占比*，	北美地区是公司最大市场收入占*，
合理估值**倍；对应大多数为国企。	理估值**倍；对应大多数为国企。
由于整个专利诉讼形势越来越偏向仿制药公司，	由于整个专利诉讼形势越来越偏向仿药公司，
对应*为*倍*倍和*倍，给予强烈推荐评级。	对应*为*倍*倍和*倍，给予烈推荐评级。
新氧付费率增长不及预期。	新氧付费率增长不及期。
加快创新药审评审批等文件出台，	加快创新药审审批等文件出台，
试点城市医保基金运行平稳有一定结余等。	试点城市保基金运行平稳有一定结余等。
*样本医院数据增速较慢的原因主要包括医保控费控制药占比以及分级诊疗等。	*样本医院数据增速较慢的原因主要包括医控费控制药占比以及分级诊疗等。
行业层面*随着行业政策如两票制和营改增等因素影响，	行业层面*随着行业政策如两票制和改增等因素影响，
三板医药企业估值合理优势明显，	三医药企业估值合理优势明显，
连锁药店毛利率普遍在**之间，	连锁店毛利率普遍在**之间，
已经对外转让新药上市后的海外权益，	已经对外转让新药上后的海外权益，
凝血因子类产品中，仅有纤维蛋白原和凝血酶原复合物有批签发，	凝血子类产品中，仅有纤维蛋白原和凝血酶原复合物有批签发，
复方黄黛片独家品种，生产企业为天长亿帆制药有限公司，	复方黄黛片独家品，生产企业为天长亿帆制药有限公司，
同比增速*；和仁科技收入*亿元，同比增速*。	比增速*；和仁科技收入*亿元，同比增速*。
即一台康复设备对应*名康复执业医师，对应*张病床。	即一台康复设备对应*名康复执业医，对应*张病床。
*非常擅长使用专利挑战注相关政策内容参见附录*专利挑战制度手段来申请仿制药。	*非常擅长使用专利挑战注相关政策内容参见附录*专利挑战制度手段来申请仿制。
目前已将业务模式拓展至药品配送医疗器械供应链服务医疗后勤服务移动医疗信息化服务第三方物流中医药板块研发生产板块供应链金融服务等，	目前已将业务模式拓展至药品配送医疗器械供应链服务医疗后勤服务移动医疗信息化服务第三方物流中医药板研发生产板块供应链金融服务等，
公司及早把握行业发展趋势，	公司及早把握行业发趋势，
四价流感疫苗额外覆盖*系毒株，	四流感疫苗额外覆盖*系毒株，
医美机构盈利能力普遍不高，	医美机盈利能力普遍不高，
