type:same_pinyin
同比下跌*，价格下滑，实际走动依然迟缓。	同比下跌*，价格峡滑，实际走动依然迟缓。
*年*月底，国家药监局发布关于鼓励药品创新实行优先审评审批的意见，	*年*月底，国家药监局发布关于鼓励药品创信实行优先审评审批的意见，
通过提价和良好的渠道营销，	童过提价和良好的渠道营销，
区域卫生平台包括收集处理传输社区医院医疗科研机构卫生监管部门记录的所有信息的区域卫生信息平台；	区域卫生平台包括收集处荔传输社区医院医疗科研机构卫生监管部门记录的所有信息的区域卫生信息平台；
生产的药品在药材原料质量炮制工艺包装仓储运输等方面难免存在问题，	生产的药品在药材原料质量炮制工艺包装仓储运输等方面难稳存在问题，
同比增长***，实现*分别为*元*元*元。	同比曾长***，实现*分别为*元*元*元。
在减少风险的同时，同时堤防着*年无钱可投的情况出现。	在减少风险的同时，同时堤仿着*年无钱可投的情况出现。
*是美国最大的医患社区和最大的基于云计算的电子病历系统。	*是美国最大的医患社区和最大的基预云计算的电子病历系统。
同时由于多肽链的折叠和糖基化修饰等导致三级结构也有很大差异。	同时由于多肽链的折叠和糖基化修饰等导致三级杰构也有很大差异。
制剂性质主要取决于剂型辅料和制备工艺三个方面。	制剂性质主要取决于剂型辅料和制备工艺三个妨面。
已初步形成以环渤海区域长三角区域珠三角区域为主的产业空间格局。	已初步形成以环渤海区域长三角区域逐三角区域为主的产业空间格局。
公司目前市值*亿美元；	公司目浅市值*亿美元；
*年业绩并没有好转，小幅降低*。	*年业绩并没悠好转，小幅降低*。
无法达到*要求的中药饮片企业将面临倒闭或者被兼并风险，行业正在趋向整合。	无法达到*么求的中药饮片企业将面临倒闭或者被兼并风险，行业正在趋向整合。
并已成功拓展开市场的企业，重点推荐安图生物。	并已成功拓展开石场的企业，重点推荐安图生物。
虽然这些举动本身不足以为其在中国独立运营提供足够的信心，	虽然这些举动本身簿足以为其在中国独立运营提供足够的信心，
*硫培非格司亭获批，*吡咯替尼以*期临床数据有条件批准上市；	*硫培非格司亭获批，*吡咯替尼亦*期临床数据有条件批准上市；
当前投资布局医药行业是一个合理的时间点。	当前投咨布局医药行业是一个合理的时间点。
推动*疫苗快速放量，而*疫苗则由服用*次改为*次，	推动*尾苗快速放量，而*疫苗则由服用*次改为*次，
化药仅在*年有所表现；	猾药仅在*年有所表现；
良好的安全性和耐受性非常有利于**与免疫检查点抑制剂或化疗药物的联合使用。	良好的安全性和耐受性非常有利于**与免疫检查点抑制剂或化疗药物的廉合使用。
我们估计市场占比超过*的部分仍然是专利期后原研药仿制药和中成药。	我们估计市场占比超过*的部分仍然是专利期后原研侥仿制药和中成药。
上市时间较晚，*年终端销售约*亿，其中原研占比*。	上市时间较晚，*年终端销守约*亿，其中原研占比*。
国家发展战略层面多项政策均显现出对医药创新发展的鼓励与支持。	国家发展战略层面跺项政策均显现出对医药创新发展的鼓励与支持。
这也是全球首个*批准临床试验产品。	这也是全丘首个*批准临床试验产品。
*允许拥有不同投票权架构的公司上市。	*允许拥有不同投票权架构的公司上师。
经过*年发展，*年收入已超过*亿元，	经过*年发展，*年收入已超国*亿元，
其受益品种以普药为主。	其受益品种以普药威主。
国内医疗器械生产企业的集中度亟待提高。	国内医疗砌械生产企业的集中度亟待提高。
*器械随规模扩大议价权提升而略有提升，	*器些随规模扩大议价权提升而略有提升，
改造新型抗体成为下一代抗体药物的潮流*强化杀伤力的抗体偶联药物将抗体与其他药物连接，	改造新型抗体成为下一代抗体药物的潮流*强化杀伤力的抗体偶联药物将抗体与其他药物连洁，
控费取得明显的成效，但由于我国人口老龄化加速，	控费取得明显的成效，但由于我国人口老龄化挟速，
血液制品长期保持稳定向上，	血液制品长期保持紊定向上，
公司工业板块，制剂领域阿托伐他汀钙和瑞舒伐他汀钙的放量驱动成长，	公司工业板块，制剂领域阿托伐他汀钙和蕊舒伐他汀钙的放量驱动成长，
综合医院*亿人次，中医医院*亿人次，	综合医院*亿人厕，中医医院*亿人次，
根据工信部统计数据，*年至*年，	根句工信部统计数据，*年至*年，
产业化和商业化能力有望提升。	产业化和商业划能力有望提升。
*年医药及医疗器械制造利润总额中，	*年夷药及医疗器械制造利润总额中，
尽管如此，*合建较社会资本单独切入增量市场仍有不可比拟的优势。	尽管如此，*合建较社会资本单独茄入增量市场仍有不可比拟的优势。
时长普遍较短，且自*年*月以来呈现显著下降趋势。	时长脯遍较短，且自*年*月以来呈现显著下降趋势。
四川浙江广东等*个省份明确提出在省内公立医院采购医疗器械时优先国产，	四川浙江广东等*个省份明确提出在省内公立医院采购医了器械时优先国产，
此外，*年公司还分别向美国*递交了*个注射剂*个原料药，	此外，*年公司还分别向美国*递交了*个注射剂*个原聊药，
行业集中度进一步提高。	行冶集中度进一步提高。
新靶点的収现上依然落后于収达国家。	新靶点的収现上依燃落后于収达国家。
通过技术，改变毛利率空间，主动突破。	通过技株，改变毛利率空间，主动突破。
我们预计**年公司*为***元，给予买入评级。	我们预计**年公司*为***元，稽予买入评级。
但专利到期后，原研药售价下降，	但专利到期后，原研药首价下降，
给*公司提供了弯道超车的可能性。	给*公司提供了弯道超车的可泞性。
医药行业投入大量成本进行产品研发之后，	医药行业投入大梁成本进行产品研发之后，
允许适当进行转配送。	允许虱当进行转配送。
同时并购整合效果显著，	同时冰购整合效果显著，
好赛道高增长生物药细分龙头。	好赛道高增长生物药细分隆头。
*个处方药转为非处方药后，销售路径将更宽。	*个处方药转为非处方药后，销售溜径将更宽。
虽然公立医院整形美容科室技术水平先进药品来源正规可靠，	虽然公立医院整形美容科室技术水平先进姚品来源正规可靠，
瞄准整体规模快速增长的脑卒中市场，	瞄准整体柜模快速增长的脑卒中市场，
**我国干细胞存储壁垒较高，	**我国干细胞村储壁垒较高，
*创新药品种销售在放量，	*创新药品种销售在放辆，
预计该产品*年实现收入*亿元，	预计该产品*年实现收蠕*亿元，
华海药业受厄贝沙坦原料药*超标影响，	华海药业受厄贝沙坦原料耀*超标影响，
拥有*家制药厂*多家医药商业公司，	拥有*家制药厂*多家医药伤业公司，
销售类职位上也比平均薪资高出*；	销售类窒位上也比平均薪资高出*；
给予增速**；地产方面，	给予增宿**；地产方面，
提升品种附加值；随着国内优先审评一致性评价和招标采购政策调整，	提升品种附加值；随着国内优先审评一致性苹价和招标采购政策调整，
但其侧重于医疗而非美容，	但其侧盅于医疗而非美容，
以及上海和大连的补充文件中，均能看到相应条款。	以及上海和大连的不充文件中，均能看到相应条款。
**是全球诞生第事例试管婴儿皀澳大利亚辅助生殖服务机构，占*皀市场仹额。	**是全球诞生第事例试管婴贰皀澳大利亚辅助生殖服务机构，占*皀市场仹额。
是较好的发展领域和投资方向。	是较好的伐展领域和投资方向。
药明康德*年实现净利润*亿元，	拗明康德*年实现净利润*亿元，
加强处方审核和处方点评。	加强处方审核和处方点屏。
受此影响，*也停止了*抑制剂与*联用的几个临床试验。	受此影翔，*也停止了*抑制剂与*联用的几个临床试验。

type:same_stroke
国家对行业一直采取强监管的态势。	国家对行业一直彩取强监管的态势。
封闭式诊断仪器以联动销售为主，	封闭式诊断仪器以联动销售为住，
市场回顾今日*股市场大幅下挫，	市场回顾今日*股市场大幅下座，
并具有与经营规模相适应的一定数量的执业药师。	并具有与经营规模相适应的一定数量的执业约师。
扣非净利润增速为*，好于*年同期的*。	扣非净利润赠速为*，好于*年同期的*。
可是*检测出现假阳性结果的可能性就要低得多，	可是*检测出现假阳性结颗的可能性就要低得多，
让患者在家门口就能享受优质同质化的医疗服务。	让患者在家门口就能享受忧质同质化的医疗服务。
调节免疫系统的活性，从而改善过敏症状。	调节免疫系统的活生，从而改善过敏症状。
消费能力更高，因此中国*岁以上医美消费群体需求量并未完全释放，	消费能力更高，因此中国*岁以上医美消费详体需求量并未完全释放，
*年，我国医药制造业高技术产业利润额达到*万元，比*年增长*。	*年，我国医药制造业搞技术产业利润额达到*万元，比*年增长*。
符合条件的上市标的将陆续出现。	符合条件的上柿标的将陆续出现。
引导居民做好自我防护及时合理就医。	引导据民做好自我防护及时合理就医。
体数目及结构异常情况以及判断是否遗传了父母癿致病突发。	体数目及结构异常情况以及判断是否溃传了父母癿致病突发。
人口结构衰退的趋势已不可避免，	人口结钩衰退的趋势已不可避免，
如果说研发管线与科研实力决定了创新药企业*估值模型中的多数因素，	如果说研发管线与科研实力决定了创新药企业*估值模形中的多数因素，
*医保控费决心明确，龙头企业优势凸显，国产替代加速。	*医保控费决心明确，龙头企业优势凸显，国产潜代加速。
各地原料药厂成为治污重点。	络地原料药厂成为治污重点。
目前，包括上海复美大药房共计*多家门店，	目前，包括上海复美犬药房共计*多家门店，
涉足动物健康在英格兰开设发酵工厂，	涉足动物健康在英格兰开役发酵工厂，
*印度知识产权保护体系欠缺得益于印度政府执行药物专利强制许可制度，	*印度知识产权保护体系欠决得益于印度政府执行药物专利强制许可制度，
截至*月*日行业涨幅*，	截窒*月*日行业涨幅*，
公司内生外延持续表现出色，	公司内生外延特续表现出色，
真正的进入*获得通过后抢占市场的竞赛才刚刚开始。	真正的进入*获得通过后抢占市场的竞赛才刚刚刑始。
美国医美行业快速发展的主要原因有*居民可支配收入的提高是根本原因，	美国医美行业快速发展的主妥原因有*居民可支配收入的提高是根本原因，
此外在**产品的定价方面，	紫外在**产品的定价方面，
实现了生物医疗低温存储设备的进口替代。	实现了生物医疗底温存储设备的进口替代。
复星凯特推迚*技术转移的硬件设施已经到位。	复星凯特推迚*技术转移的硬件设也已经到位。
此外，鉴二青海地处高原，	此外，鉴二青海地处高源，
国内玻尿酸知名品牌公司目前生产及销售两类用于整形美容与创面护理的产品，	国内玻尿酸知名品牌公司目前生产及销售两类用于整形美溶与创面护理的产品，
艾伯维的*收入也同比下滑*，	艾伯住的*收入也同比下滑*，
业绩高增长有良好保障。	业绩高增长有良好保彰。
智慧药房推广势如破竹。	智慧药房堆广势如破竹。
产能将成为原料药企业突破销售瓶颈的核心驱动力，	产能将盛为原料药企业突破销售瓶颈的核心驱动力，
更严重的情形会令相关机构声誉受损。	更严重的情形会令相关机勾声誉受损。
*使用医保总局在*号文中再次明确鼓励临床机构优先采用通过一致性评价的品种。	*使用医保总局在*号文中再次明确鼓励临床机构优先采用通过一致性评阶的品种。
并用于本部门医疗安全与质量的持续改进。	并用于本部门医疗安全与质量的持买改进。
具有广泛的抗肿瘤适应症。	具有广泛的抗肿瘤适应焉。
已经有*个省市陆续出台挂网采购政策，	已经有*个省市陆续出台挂网菜购政策，
逐年增长，主要是公司研发投入逐年增加。	逐年憎长，主要是公司研发投入逐年增加。
万元，比上年同期上升**。	万玩，比上年同期上升**。
销售分线改革以及四季度计提奖金有关，	销售分线改革以及四季度计提奖针有关，
以及*政府大幅上调居民医保缴费标准国内医疗服务能力诊断技术和居民健康意识不断提升。	以及*政府大幅上调据民医保缴费标准国内医疗服务能力诊断技术和居民健康意识不断提升。
用于治疗三阴性乳腺癌。	用于治疗三阴生乳腺癌。
从*年的*增长到***的*。	从*年的*增张到***的*。
目前*公司***的**临床进展最为顺利，	目前*公司***的**临床进展最为顺俐，

type:miss_char
托管药房合办药房****等诸多新模式如同雨后春笋般出现，	托管药房合办药房****等多新模式如同雨后春笋般出现，
在市场上发现不少创新机会。	在场上发现不少创新机会。
生物类似药进入市场之后，	生物类药进入市场之后，
审评通过的视同通过一致性评价。	评通过的视同通过一致性评价。
*下游受分级诊疗影响较大，	*下游受级诊疗影响较大，
无法带动零售药店短期内业绩上升。	无带动零售药店短期内业绩上升。
与国家一类新药重点新产品国家级奖项药品重合度较低。	与国家一新药重点新产品国家级奖项药品重合度较低。
企业失去了价格的完全自主权。	企业失去了价的完全自主权。
同时在连接广度和深度上进一步加深。	同时在连接广度和深度上一步加深。
前十大产品整体规模*亿元。	前十大产品整体规*亿元。
第一次向定点医疗机构拨付*资金，	第一次向定点医机构拨付*资金，
但爱尔眼科在全国基本已完成三级连锁网络的布局，	但爱尔科在全国基本已完成三级连锁网络的布局，
其中水针与长效剂型为国内独家产品，	其中水针与长剂型为国内独家产品，
预计蒿草花粉滴剂上市后将迅速占领北方脱敏市场，	预计蒿草花粉滴剂上市后将迅速占领北方敏市场，
终端栺局重构皀主线分级诊疗政策皀推迚，	终端栺局重构皀主线分级诊政策皀推迚，
国内乃至全球最大眼科医疗集团，	国内乃全球最大眼科医疗集团，
我国医药企业在中国香港美国新加坡日本等国家和地区都进行了绿地投资或者并购，	我国医药企业在中国香港美国新加坡本等国家和地区都进行了绿地投资或者并购，
同比增长*，增速有所回暖，	同增长*，增速有所回暖，
可以同时抢占原研和仺制药市场仹额，	可以同抢占原研和仺制药市场仹额，
成功率*；通过一致评价仿制药*个，	成率*；通过一致评价仿制药*个，
复星医药有望充分受益此次过审，	复医药有望充分受益此次过审，
根据我们的统计，截止*年*月*日，	根据我们的计，截止*年*月*日，
在城市为*，并保持持续增长趋势，	在城市为*，并保持持续增长趋，
*点评通知指出，为鼓励罕见病制药产业发展，	*点评知指出，为鼓励罕见病制药产业发展，
理论上只能通过兴齐眼科医院的处方来购买的硫酸阿托品滴眼液院内制剂也获批了，	理论上只能通过兴齐眼科医院的处方来购买的硫酸阿托品滴眼液院制剂也获批了，
从*年前三季度看，阿斯利康每盒均价为*元，	从*年前三季度看，阿斯利康每盒价为*元，
可以为客户提供小分子化合物各类合成服务。	可以为客提供小分子化合物各类合成服务。
社会保障部门将在医保支付方面予以适当支持，	社会保障部门将在医保支方面予以适当支持，
专家审定，对每个诊断相关组的制定支付标准，	专家审定，对个诊断相关组的制定支付标准，
通过自建和收购，*年实现收入*亿元，同比增长*。	通过自建和收，*年实现收入*亿元，同比增长*。
目前已与鼓楼医院合作设立鼓楼大药房，	目前已与鼓楼医院合作立鼓楼大药房，
和或将用药间隔调整为*周。	和或将用药间隔调为*周。
给药频率为前*个月每月给药*次，	给药频为前*个月每月给药*次，
*年达到**图表*年我国医药工业销售收入为*亿元，	*年到**图表*年我国医药工业销售收入为*亿元，
优先评审，注册分类改革，	优先评审，注分类改革，
部分拥有较强技术创新和工艺优化的*企业已开始将业务产业链拓展至下游的创新药原料药和制剂领域。	部分拥有较强技术创新和工艺优化的*企业已开始将业务产业链拓至下游的创新药原料药和制剂领域。
中航证券可发出其它与本报告所载资料不一致及有不同结论的报告。	中航证券可发其它与本报告所载资料不一致及有不同结论的报告。
因此在*年度策略报告中，	因此在*度策略报告中，
商业板块实施点通网强战略，	商业块实施点通网强战略，
尽管增速放缓，人口老龄化与城镇化提高了我国医药消费能力，	尽管增速放缓，人口老龄化与城镇化提高了我国药消费能力，
其剂型预计也能持续获得不俗销量。	其剂型预计也能持续获不俗销量。
降低医院间竞争意识，无法调动医务人员积极性，	降低医院间竞争意识，无法调动医务人积极性，
公司净利率将会逐步提升。	公净利率将会逐步提升。
我们由此列出了以下我国医药健康在线服务⾏业图谱。	我们由列出了以下我国医药健康在线服务⾏业图谱。
而医院对药品院内销售的成本增加的问题，	而医院对药品院内销售的成本增加的问，
智飞生物子公司自主研发的母牛分枝杆菌疫苗正式纳入优先审评品种。	智飞生物子公司自主研发的牛分枝杆菌疫苗正式纳入优先审评品种。
即针对不同抗原或同一抗原不同抗原决定簇的一组抗体。	即针对不同抗原或同一抗原不同抗原决定的一组抗体。
可以参考同子行业公司进行估值。	可以参同子行业公司进行估值。
量价提升齐带动公司业绩的提升。	价提升齐带动公司业绩的提升。
未在宁夏药品集中采购网中标的药品品规，	未在宁夏药品集中采购网中标药品品规，
*家公司发布业绩预告。	*家公司发布业预告。
由于产品属性的不同，超市的运营能力优于药店，	由于产品属性的不同，超市的运能力优于药店，
*年间，其开发的艾司奥美拉唑镁二水合物获得欧洲药典适用性认证的影响，	*年间，其开发的艾司奥美拉唑镁二水合物获得欧洲药适用性认证的影响，
考虑到公司业绩快速增长和创新药的布局，	考虑到公司业绩快速增长和创新药的局，
为个人家庭提供个性化差异化养老保障，	为个人家庭提供个性差异化养老保障，
政策类型涉及地区发布时间相关文件药店分级分类管理广东*年*月*日广东省食品药品监督管理局关于药品根据药品零售企业设置条件与药品经营范围，	政策类型涉及地区发布时相关文件药店分级分类管理广东*年*月*日广东省食品药品监督管理局关于药品根据药品零售企业设置条件与药品经营范围，
考虑到未来稳定增长的医疗需求以及今年医药板块相对稳健的行业增速，	考虑到未来稳定增长的医需求以及今年医药板块相对稳健的行业增速，
由市县市场监管部门统一承担。	由市县市监管部门统一承担。
总部设在中国苏州工业园区，	总部设中国苏州工业园区，
未来想要在**产品上市后避免纠纷，	未来想要在**产品上市后避免纷，
谷歌客服明知不合法，却积极帮助优化分析和购买关键词广告，	谷歌客服知不合法，却积极帮助优化分析和购买关键词广告，
其临床要求均需与原研质量和疗效一致，	其临床要求均需与原研质量和疗一致，
百济神州和君实生物进展接近，	百济神州和实生物进展接近，
四大零售药店公司自建率向*左右靠近，	四大零药店公司自建率向*左右靠近，
争取更大市场份额，为医院运营管理及供应链服务提供支持。	争取更大市场份额，为医运营管理及供应链服务提供支持。
收入和净利润情况大幅改善。	收入和净利润情况大幅改。
未来在与人寿等商保以及地方医保审核中，	未在与人寿等商保以及地方医保审核中，
医药行业指数亦充分体现了政策的影响，	医药行业指数亦充分体了政策的影响，
严格党的组织生活，扩大党内基层民主，	严格党的组织生活，扩大内基层民主，
但根据系统的反馈结果，	但根据统的反馈结果，
由于政策预留的空间巨大产品和服务重新定价，	由于政策留的空间巨大产品和服务重新定价，
截至*月*日，上证综指报收*点，	至*月*日，上证综指报收*点，
其中既包括止血海绵一次性注射器这类较简单的产品也包括医用磁共振成像设备这类复杂的大型设备。	其中既包止血海绵一次性注射器这类较简单的产品也包括医用磁共振成像设备这类复杂的大型设备。
同比增长*；天麻素注射液含税销售收入*亿元，	同比长*；天麻素注射液含税销售收入*亿元，
从政策与行业运行看，政策面处于相对空窗期，	从政策与行业运行看，政策面于相对空窗期，
*年白药牙膏在激烈市场竞争下占有率仍保持在*左右，	*年白药牙膏在激烈市场竞争下占有率仍保持在*右，
其表决权安排等应当符合上海证券交易所科创板股票上市规则等规则的规定。	其表决权安排等应符合上海证券交易所科创板股票上市规则等规则的规定。
过度检查和大处方现象会得到抑制；	过度检查和大处方现会得到抑制；
具体产品形态包括接骨板接骨螺钉等。	具体产品形态包括接骨板接骨螺等。
长期以来，我国公立医院通过药品加成来补偿和补充自身运行和发展，	长期以来，我国公立医院过药品加成来补偿和补充自身运行和发展，
对于婴儿潮世代出生的中老年人而言，	对于婴潮世代出生的中老年人而言，
毛利率和净利率有望同步提升。	毛率和净利率有望同步提升。
上市公司里面，市值超过*亿的仅乐普医疗一家，	上市公司里面，市值超过*亿的仅乐普医疗一，
均可接受申请人委托开展临床试验。	均可接受申请人委托开临床试验。
有可能导致政策执行效果不及预期；	有可能导致政策执行效果不及预；
利于合全持续由临床项目向商业化项目推进。	利合全持续由临床项目向商业化项目推进。
目前正积极进行数据分析与统计；	目前正积极行数据分析与统计；
当月盈利的周期越短，则其盈利能力就越强。	当月盈利的周期越，则其盈利能力就越强。
一般处方药占比*，则处方外流对零售药店收入总体的拉动作用为*。	一般处方药占比*，则处方外流对零售药店收入总体的拉动作为*。
*鱼跃是家用医疗器械龙头企业，	*鱼跃是家用医疗器械头企业，
困难的股东能够以时间换空间，不至于马上抛股票。	困难的股东能够以时间换空间，不至马上抛股票。
较上一年度增长*，近五年复合增长率*。	较上一年度增长*，近五年复合增长*。
公司年销售过*亿元产品有藿香正气口服液；	公司年销售过*亿元产品有藿正气口服液；
其检测项目成本偏低，再加上没有规模效应，	其检测项目成本偏低，再加没有规模效应，
市场先发优势在这一阶段已经不太重要了，	市场先发优势在这一阶段已不太重要了，
连锁药店龙头纷纷借机扩张版图，	连锁药店龙头纷纷借机扩张版，
*年，公司成立了美国子公司为北美客户提供更好的服务。	*年，公司成立了美国子公为北美客户提供更好的服务。
还具有优异耐酸性能，但是耐碱性能较差，	还具有优异耐酸性能，但是耐碱性能较，
特殊工艺打破细胞壁使得细胞质内精华完全释放，	特殊工艺打细胞壁使得细胞质内精华完全释放，
*年间市值从*亿成长为过千亿的医药消费龙头，	*间市值从*亿成长为过千亿的医药消费龙头，

type:change_word
聚力康于*年创办于上海，	上还康于*年创办于上海，
综合医院来说，从开眼底病会议来看，	会意医院来说，从开眼底病会议来看，
商品名为普佑克，生产企业为上海天士力药业有限公司，	商海名为普佑克，生产企业为上海天士力药业有限公司，
*年**月医药制造业主营业务收入为*亿元，	议员**月医药制造业主营业务收入为*亿元，
依然有机会从众多候选药物中抢夺医生的处方权，成为大品种。	即会有机会从众多候选药物中抢夺医生的处方权，成为大品种。
尽管有该等限制，曲妥珠单抗仍作为**阳性早期乳腺癌**阳性转移性乳腺癌及**阳性转移性胃癌的主要治疗方案而被广泛使用。	作伪有该等限制，曲妥珠单抗仍作为**阳性早期乳腺癌**阳性转移性乳腺癌及**阳性转移性胃癌的主要治疗方案而被广泛使用。
高值医用耗材也是占用医保资金较多的领域，	自尽医用耗材也是占用医保资金较多的领域，
根据**统计，在中国，	同级**统计，在中国，
根据**数据，我国人均床位数与其他主要经济体相比较低，	跟据**数据，我国人均床位数与其他主要经济体相比较低，
*国内药品生产企业已在欧盟美国或日本获准上市的仿制药，	锅内内药品生产企业已在欧盟美国或日本获准上市的仿制药，
患者和医生对创新药的认知和接受程度提高，	欢这和医生对创新药的认知和接受程度提高，
但全世界仍有一半的人无法负担有质量保证的药品，并正确使用。	服单世界仍有一半的人无法负担有质量保证的药品，并正确使用。
*年国内氯吡格雷市场规模约*亿，	国馁国内氯吡格雷市场规模约*亿，
到*年，波士顿科学预测内镜诊疗的营业收入可以达到*亿美元，	影业年，波士顿科学预测内镜诊疗的营业收入可以达到*亿美元，
中国作为当今最有活力的市场之一，	中果作为当今最有活力的市场之一，
预计*年将达到*亿美元；	一梅园年将达到*亿美元；
预计将陆续获批，我国单抗药物市场崛起时不我待，	尸布我带续获批，我国单抗药物市场崛起时不我待，
但*年后，法院驳回了*要求仿制药企必须挑战胜诉的前提，	发员年后，法院驳回了*要求仿制药企必须挑战胜诉的前提，
涉及感染性疾病心脑血管疾病肾脏疾病糖尿病妇产科优生优育健康体检等六个系列。	感染星染性疾病心脑血管疾病肾脏疾病糖尿病妇产科优生优育健康体检等六个系列。
可能的催化剂根据*年三季报，	跟据的催化剂根据*年三季报，
*若无答复自动视为批准临床；	大富无答复自动视为批准临床；
而新型疫苗的研发往往需要**年的研发和高额的资金投入，	新星型疫苗的研发往往需要**年的研发和高额的资金投入，
仅按照*的年增速，我们预计到*年，	安招照*的年增速，我们预计到*年，
该公司的主打业务*的增长恰逢美国医疗行业的重大转变，	专边司的主打业务*的增长恰逢美国医疗行业的重大转变，
我国自*年以来实行*苗防*病的免疫规划以来，	妙方自*年以来实行*苗防*病的免疫规划以来，
*公司整合了*业务药房配送以及健康管理服务，	公四司整合了*业务药房配送以及健康管理服务，
而在线医患诊后互动慢病复诊及续方等需要深度对接医院系统与数据的应用则处于刚刚起步的阶段。	须要线医患诊后互动慢病复诊及续方等需要深度对接医院系统与数据的应用则处于刚刚起步的阶段。
同时有效强化实体企业供应链条上的信用薄弱环节，促进行业结构调整。	薄弱换届强化实体企业供应链条上的信用薄弱环节，促进行业结构调整。
*年召开的全国第二次精神卫生工作会议，	尾声召开的全国第二次精神卫生工作会议，
尽管阿达木的生物类似药获批了*个，	阿达幕达木的生物类似药获批了*个，
而近年来中药审批速度明显放缓，	身批年来中药审批速度明显放缓，
终端销售网络优势明显。	小手销售网络优势明显。
*世纪*年代，韩国经济发展迅猛，	年贷纪*年代，韩国经济发展迅猛，
但是对于处于社会经济历史变革期的国家来说，	过家对于处于社会经济历史变革期的国家来说，
从而进一步扩大公司在主动脉及外周血管介入医疗器械的市场份额及品牌影响力。	影响利一步扩大公司在主动脉及外周血管介入医疗器械的市场份额及品牌影响力。
过一致性评价，恢复采购资格；	回府致性评价，恢复采购资格；
重点开展产后母婴健康服务。	中电开展产后母婴健康服务。
安科生物生长激素规格丰富，	丰服生物生长激素规格丰富，
前期培育分院进入收获期，	进如培育分院进入收获期，
随覆盖医院数量的增多，	术量盖医院数量的增多，
在西南证券层面发展大金融控股平台。	系男南证券层面发展大金融控股平台。
根据中国卒中杂志数据，	根具中国卒中杂志数据，
在儿童化药**的品种中，	二同童化药**的品种中，
一心堂***和***扣非净利增速分别为*和*；	增苏堂***和***扣非净利增速分别为*和*；
主要涉及止咳化痰类补肾类和抗感染类药物，	射击涉及止咳化痰类补肾类和抗感染类药物，
其统计到的*年全国信息化项目数量为*个；	术量计到的*年全国信息化项目数量为*个；
其中使用自体和同种异体造血干细胞完成骨髓移植术的患者人数分别为近*万和*万例，	骨髓一只自体和同种异体造血干细胞完成骨髓移植术的患者人数分别为近*万和*万例，
优化资源配置，促进产能快速释放。	阐能资源配置，促进产能快速释放。
